episode_id,created_at,fb_action_id,user_id,tv_show_name,episode_season_number,episode_number,rewatched_count
55452,2018-08-11 03:39:56,,22659137,The Simpsons,1,1,0
55453,2018-08-11 03:39:56,,22659137,The Simpsons,1,2,0
55454,2018-08-11 03:39:56,,22659137,The Simpsons,1,3,0
55455,2018-08-11 03:39:56,,22659137,The Simpsons,1,4,0
55456,2018-08-11 03:39:56,,22659137,The Simpsons,1,5,0
55457,2018-08-11 03:39:56,,22659137,The Simpsons,1,6,0
55458,2018-08-11 03:39:56,,22659137,The Simpsons,1,7,0
55459,2018-08-11 03:39:56,,22659137,The Simpsons,1,8,0
55460,2018-08-11 03:39:56,,22659137,The Simpsons,1,9,0
55461,2018-08-11 03:39:56,,22659137,The Simpsons,1,10,0
55462,2018-08-11 03:39:56,,22659137,The Simpsons,1,11,0
55463,2018-08-11 03:39:56,,22659137,The Simpsons,1,12,0
55464,2018-08-11 03:39:56,,22659137,The Simpsons,1,13,0
55465,2018-08-11 03:39:56,,22659137,The Simpsons,2,1,0
55466,2018-08-11 03:39:56,,22659137,The Simpsons,2,2,0
55467,2018-08-11 03:39:56,,22659137,The Simpsons,2,3,0
55468,2018-08-11 03:39:56,,22659137,The Simpsons,2,4,0
55469,2018-08-11 03:39:56,,22659137,The Simpsons,2,5,0
55470,2018-08-11 03:39:56,,22659137,The Simpsons,2,6,0
55471,2018-08-11 03:39:56,,22659137,The Simpsons,2,7,0
55472,2018-08-11 03:39:56,,22659137,The Simpsons,2,8,0
55473,2018-08-11 03:39:56,,22659137,The Simpsons,2,9,0
55474,2018-08-11 03:39:56,,22659137,The Simpsons,2,10,0
55475,2018-08-11 03:39:56,,22659137,The Simpsons,2,11,0
55476,2018-08-11 03:39:56,,22659137,The Simpsons,2,12,0
55477,2018-08-11 03:39:56,,22659137,The Simpsons,2,13,0
55478,2018-08-11 03:39:56,,22659137,The Simpsons,2,14,0
55479,2018-08-11 03:39:56,,22659137,The Simpsons,2,15,0
55480,2018-08-11 03:39:56,,22659137,The Simpsons,2,16,0
55481,2018-08-11 03:39:56,,22659137,The Simpsons,2,17,0
55482,2018-08-11 03:39:56,,22659137,The Simpsons,2,18,0
55483,2018-08-11 03:39:56,,22659137,The Simpsons,2,19,0
55484,2018-08-11 03:39:56,,22659137,The Simpsons,2,20,0
55485,2018-08-11 03:39:56,,22659137,The Simpsons,2,21,0
55486,2018-08-11 03:39:56,,22659137,The Simpsons,2,22,0
55487,2018-08-11 03:39:56,,22659137,The Simpsons,3,1,0
55488,2018-08-11 03:39:56,,22659137,The Simpsons,3,2,0
55489,2018-08-11 03:39:56,,22659137,The Simpsons,3,3,0
55490,2018-08-11 03:39:56,,22659137,The Simpsons,3,4,0
55491,2018-08-11 03:39:56,,22659137,The Simpsons,3,5,0
55492,2018-08-11 03:39:56,,22659137,The Simpsons,3,6,0
55493,2018-08-11 03:39:56,,22659137,The Simpsons,3,7,0
55494,2018-08-11 03:39:56,,22659137,The Simpsons,3,8,0
55495,2018-08-11 03:39:56,,22659137,The Simpsons,3,9,0
55496,2018-08-11 03:39:56,,22659137,The Simpsons,3,10,0
55497,2018-08-11 03:39:56,,22659137,The Simpsons,3,11,0
55498,2018-08-11 03:39:56,,22659137,The Simpsons,3,12,0
55499,2018-08-11 03:39:56,,22659137,The Simpsons,3,13,0
55500,2018-08-11 03:39:56,,22659137,The Simpsons,3,14,0
