posted_on_twitter,unappropriate_count,depth,comment_type,valid,updated_at,nb_likes,lang,parent_comment_id,extended_comment,source,episode_id,comment,posted_on_fb,same_ip_likes,tv_show_name,episode_season_number,episode_number,id,user_id,created_at,spoiler_count,highlight_level,nb_points
0,0,1,comment,0,2022-09-13 08:23:07,5,en,30722141,,mobile,9288822,"The fight was like watching two kids saying « I attack you with 100 damages » - « No, I attack you with infinity damages » - « No, a attack you with infinity time infinity, what can you do more ? »",0,0,The Sandman,1,4,30917074,22659137,2022-08-22 22:24:40,0,5,50
0,0,0,comment,0,2022-10-06 13:21:55,0,en,,,mobile,9247265,"Wow, what a surprise ! The plan of silver is to become not only the champion of the valley but also of the world ?! 
Couldn’t have guess that… 👏👏",0,0,Cobra Kai,5,7,31382081,22659137,2022-10-06 13:21:54,0,5,0
0,0,0,comment,0,2022-12-01 13:33:06,4,en,,,mobile,9333705,It’s so frustrating to see how easy it could have been to arrest this guy but they didn’t…,0,0,Monster (2022),1,2,31403030,22659137,2022-10-08 12:54:38,0,5,40
0,0,0,comment,0,2022-10-09 14:04:47,0,en,,,mobile,6104951,Never too late to start a good show !,0,0,Ozark,1,1,31413412,22659137,2022-10-09 14:04:44,0,5,0
0,0,0,comment,0,2023-04-11 11:40:31,5,en,,,mobile,6104952,Better call Marty,0,0,Ozark,1,2,31417213,22659137,2022-10-09 21:00:12,0,5,50
0,0,0,comment,0,2022-10-11 21:12:53,0,en,,,mobile,6172297,"That’s rare to have a show with smarts and logic scenarios, it changes from usual show with kids doing the stupidest decision all time just to continue the show. I love Ozarks !!",0,0,Ozark,1,9,31440434,22659137,2022-10-11 21:12:53,0,5,0
0,0,0,comment,0,2022-10-20 13:35:49,0,en,,,mobile,6778625,"Ok great Darlene, you killed Jacob and now what ? Shoot on the mexicains ? She is so dead in the next episode lol",0,0,Ozark,2,9,31529533,22659137,2022-10-20 13:35:49,0,5,0
0,0,0,comment,0,2022-10-28 21:25:26,0,en,,,mobile,7620104,That was one of the saddest show episodes I ever seen 😢,0,0,Ozark,3,9,31616851,22659137,2022-10-28 21:25:26,0,5,0
0,0,1,comment,0,2022-10-31 18:43:36,1,en,30651640,,mobile,5101005,He loves that,0,0,Outlander,1,10,31635461,22659137,2022-10-30 22:51:35,0,5,10
0,0,0,comment,0,2022-11-17 12:05:36,0,en,,,mobile,9138258,"What an ending !! That was awesome, so many emotions, I ended up been sad, but also happy and surprised",0,0,Ozark,4,14,31802354,22659137,2022-11-17 12:05:33,0,5,0
