notification_type,folder_id,notification_offset,tv_show_name,tv_show_id,created_at,updated_at,active,diffusion,archived,user_id
2,,-60,My Wife and Kids,70329,2022-12-26 15:48:36,2022-12-26 15:48:36,1,original,0,22659137
2,,-60,The Simpsons,71663,2018-08-11 03:39:56,2018-08-11 03:39:56,1,original,0,22659137
2,,-60,American Dad!,73141,2018-08-11 03:39:56,2018-08-11 03:39:56,1,original,0,22659137
2,,-60,The Office (US),73244,2020-12-19 23:16:47,2020-12-19 23:16:47,1,original,0,22659137
2,,-60,Malcolm in the Middle,73838,2020-03-20 13:15:23,2020-03-20 13:15:23,1,original,0,22659137
2,,-60,Futurama,73871,2020-03-20 13:15:31,2020-03-20 13:15:31,1,original,0,22659137
2,,-60,South Park,75897,2018-08-11 03:39:56,2018-08-11 03:39:56,1,original,0,22659137
2,,-60,Family Guy,75978,2018-08-11 03:39:56,2018-08-11 03:39:56,1,original,0,22659137
2,,-60,Friends,79168,2022-01-21 11:20:25,2022-01-21 11:20:25,1,original,0,22659137
2,,-60,Death Note,79481,2018-08-11 03:45:03,2018-08-11 03:45:03,1,original,0,22659137
2,,-60,America's Got Talent,79490,2019-06-23 09:38:43,2020-03-30 18:34:37,1,original,1,22659137
2,,-60,Breaking Bad,81189,2018-08-11 04:04:12,2018-08-11 04:04:12,1,original,0,22659137
2,,-60,One Piece,81797,2018-10-05 19:02:34,2018-10-05 19:02:34,1,original,0,22659137
2,,-60,Sons of Anarchy,82696,2022-10-22 21:43:05,2022-10-22 21:43:05,1,original,0,22659137
2,,-60,Fullmetal Alchemist: Brotherhood,85249,2018-08-11 03:51:20,2018-08-11 03:51:20,1,original,0,22659137
2,,-60,Game of Thrones,121361,2018-08-16 01:08:08,2018-08-16 01:08:08,1,original,0,22659137
2,,-60,Sherlock,176941,2018-08-16 01:10:37,2018-08-16 01:10:37,1,original,0,22659137
2,,-60,3%,250749,2018-08-11 03:47:09,2022-08-21 12:07:21,1,original,1,22659137
2,,-60,Hunter x Hunter (2011),252322,2020-06-11 10:00:11,2020-06-11 10:00:11,1,original,0,22659137
2,,-60,Top Boy,253138,2022-08-07 17:27:31,2023-09-07 19:29:35,1,original,0,22659137
2,,-60,Black Mirror,253463,2018-11-13 18:20:15,2018-11-13 18:20:15,1,original,0,22659137
2,,-60,American Gods,253573,2019-03-22 20:40:34,2022-08-21 12:05:17,1,original,1,22659137
